,fold_9,fold_10,fold_11,fold_12,mean_across_folds
DPO_20,0.009793691,0.006533589,0.0034109282,0.0061035454,0.0064604385
MFI_14,0.011689773,0.0042479555,0.0043749264,0.0046277735,0.0062351073
BB_upper,0.007937534,0.0053085494,0.00377188,0.005793874,0.0057029594
return_5d,0.008605519,0.0030642273,0.0028378142,0.007359714,0.005466819
SMA_200,0.0052676443,0.0040134494,0.005262183,0.0072091166,0.005438098
MACD_hist,0.0056979237,0.006750004,0.0017237541,0.0058541507,0.005006458
BB_mid,0.006480287,0.0036737996,0.00559659,0.0029224185,0.004668274
OC_body_norm,0.007220555,0.0027809164,0.004684973,0.0039625634,0.004662252
price_to_SMA50,0.007939538,0.0026618894,0.002395148,0.0042010807,0.004299414
EMA_200,0.004233165,0.0025236986,0.0034364539,0.006855207,0.004262131
rolling_vol_21d,0.006461957,0.005904894,0.0021654062,0.0023860072,0.004229566
EMA_50,0.006076792,0.005315804,0.0023125808,0.0026798632,0.00409626
return_3d,0.007845356,0.0023662893,0.0029243415,0.0031251353,0.004065281
HL_range_norm,0.0028956637,0.004461053,0.0033461817,0.0051497864,0.003963171
ROC_10,0.004582574,0.0039847866,0.0032142075,0.0040024407,0.0039460026
BB_width,0.0053429557,0.003692442,0.002101916,0.0042273896,0.0038411757
DI_plus,0.009470394,0.0019056405,0.0021818301,0.0015925122,0.0037875941
upper_shadow_ratio,0.0057597486,0.0032934516,0.002402672,0.003547063,0.003750734
lower_shadow_ratio,0.006801101,0.0028537316,0.0014336975,0.00322465,0.003578295
MACD_signal_9,0.0037613255,0.0047586067,0.0034690928,0.0020910425,0.003520017
return_10d,0.004733994,0.003718692,0.0026034382,0.0030143594,0.0035176212
volume_zscore_21d,0.0035415408,0.004233402,0.0020827188,0.0041465187,0.003501045
volume_zscore_5d,0.0073030205,0.0025164003,0.0020978441,0.0019096695,0.0034567337
ATR_14,0.0052916016,0.0025917555,0.00192524,0.003831513,0.0034100276
return_2d,0.0040894267,0.0030589679,0.0018940888,0.003364237,0.00310168
BB_lower,0.0031753085,0.003420401,0.0034409876,0.0021002074,0.0030342261
BB_pct_b,0.004882023,0.0025990342,0.0013982856,0.0032517507,0.0030327735
rolling_vol_63d,0.004672623,0.0025396387,0.0029805815,0.0016796318,0.0029681188
EMA_21,0.0035813525,0.0030826358,0.002190253,0.0027862797,0.0029101302
return_1d,0.0043897177,0.0013486156,0.0026762101,0.0032067413,0.002905321
EMA_9,0.0025889724,0.0038091266,0.0021993553,0.0029860118,0.0028958665
ATR_21,0.0025735227,0.0023976183,0.0023394546,0.0035089757,0.0027048928
rolling_vol_5d,0.0023775906,0.0053084106,0.00095803424,0.0021141085,0.002689536
Williams_R,0.00340175,0.004083171,0.0017578778,0.0013949063,0.0026594263
stoch_K,0.0041916915,0.0021846823,0.0017301257,0.002225083,0.0025828956
RSI_21,0.001864505,0.0047525167,0.0016163784,0.002025076,0.002564619
SMA_50,0.0029261538,0.0030943933,0.0024696307,0.0016818834,0.0025430154
stoch_D,0.0032826322,0.0026910102,0.0021776913,0.0019909013,0.0025355588
DI_minus,0.0018501051,0.003059395,0.0019782288,0.002475581,0.0023408274
VWAP_deviation,0.0037141973,0.0024765276,0.0014464626,0.0016666482,0.0023259588
OBV_EMA,0.00086670084,0.0042775567,0.0020272478,0.0019258315,0.0022743342
price_to_SMA200,0.0020660092,0.002397662,0.002673596,0.0019204479,0.0022644287
MACD_12_26,0.0016983858,0.0034188179,0.002132236,0.0016893506,0.0022346976
RSI_14,0.0016593492,0.0033519643,0.0016912469,0.0020462854,0.0021872115
return_21d,0.002533597,0.0022489103,0.0021529442,0.0013750702,0.0020776303
ROC_21,0.001928297,0.0026513382,0.0017700717,0.0015410708,0.0019726944
OBV,0.0016136884,0.002944076,0.0013498996,0.0016304574,0.0018845303
ADX_14,0.0017728416,0.0021210199,0.0017441129,0.0017905603,0.0018571337
CCI_20,0.0019809285,0.0021197104,0.0012236739,0.0018637637,0.0017970192
